Livros
Uma breve historia da humanidade: Sapiens
The Witcher: O último desejo
Como aprender inteligencia
O Lado Dificil das situaçoes dificeis
Guia do mochilheiro da galaxia
Esta não é mais uma historia sobre viagens no tempo
Como Ler Livros
Sherlock Holmes 
Guia pratico do portugues correto VOL 1
SCRUM a arte de fazer o dobro do trabalho pela metade do tempo
